,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Date,Session,Clan,Rating,Opponent,#,Map,Notes,Ya,Mo,Oh,Kr,GK,Co,Th,Re,Bo,Za,DM,Sa,Hi,Go,He,Ve,Yo,PR,Mk,St,Wo,Sm,Mi,Co,Sh,Hg,Hy,Ge,So,Gr,Kh,52,Da,Kl,Ma,PE,YY,X,,486,Points
,1,3/11,2.4,KSC,B,R-F,18,Crash Zone Alpha,,1,,,1,,,,,,1,1,,,,,,,,,,,2,,,,,,1,1,,,,,,,,,-,,L,-20
,2,,2.4,KSC,B,PSV,10,Shards,,1,,,1,,,,,,,1,,,,,,,,1,,,2,,,,,,,1,,,,1,,,,,-,,L,-19
,3,,2.4,KSC,B,STURM,97,North,,,,,1,,,,1,,,1,,1,,,,,,,1,,,,,,,,,1,,1,,1,,,,,-,,W,19
,4,,2.4,KSC,B,NNC,43,Hotspot,,,,,1,,,1,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,,2,,,,-,,L,-20
,5,,2.4,KSC,B,TNG,15,North,,,,,2,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,1,2,,,,-,,L,-14
,6,,2.4,KSC,B,SUR,98,Crash Zone Alpha,,,,1,,,,1,,,,1,,,,,,,,1,,,1,1,,,,,,,,,1,,1,,,,-,,W,22
,7,,2.4,KSC,B,ARP,24,Land of Fire,,,,,2,,,,,,,1,,,,1,,,,,1,,1,,,,,,,,,,,2,,,,,-,,W,18
,8,,2.4,KSC,B,ES,120,Sea of Fortune,,1,,,1,,,,,,1,,,,,1,,,,,2,,,,,,,,1,,1,,,,,,,,-,,W,19
,9,,2.4,KSC,B,CUTER,8,Crash Zone Alpha,,,,,1,,,,,1,,1,,,,,,,,1,1,,1,,,,,,,1,,,,,1,,,,-,,L,-16
,10,,2.4,KSC,B,R-F,18,Shards,,,,,1,,,1,,,,1,,,,,,,,,1,,2,,,,,,,1,,,,1,,,,,-,,W,25
,11,,2.4,KSC,B,KUMA,60,Hotspot,,,,,1,,1,,,,,1,,,,1,,,,,1,,1,,,,,,,,1,,,1,,,,,-,,W,19
,12,,2.4,KSC,B,PWP,4,Crash Zone Alpha,,,,,2,,,,,,,1,,,,1,,,,,1,,1,,,,,,,,,,,2,,,,,-,,W,28
,13,,2.4,KSC,B,KSD,26,Sea of Fortune,,,,,2,,,,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,,2,,,,-,,L,-23
,14,,2.4,KSC,B,BOTES,17,North,,,1,,,,,,,,,,,,,,,,,1,1,,3,,,2,,,,,,,,,,,,,-,,L,-18
,15,,2.4,KSC,B,CUTER,8,Hotspot,,,,,1,,,,,1,,1,,,,,,,,1,1,,1,,,,,,,1,,,,,1,,,,-,,W,28
,1,6/11,3.1,KSC,B,SYN,170,Crash Zone Alpha,,1,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,3,,,,-,,L,-19
,2,,3.1,KSC,B,KWA,69,North,,,,1,,,,,,,2,1,,,,,,,,,2,,,,,1,,,,,,,,1,,,,,-,,W,19
,3,,3.1,KSC,B,ADOPT,30,Sea of Fortune,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,3,,,,-,,L,-19
,4,,3.1,KSC,B,PN,80,Hotspot,,1,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,3,,,,-,,L,-20
,5,,3.1,KSC,B,CUTE,22,Warrior's Path,,,,,1,,,,1,,,,,,,1,,,,1,1,,,,,,,,,1,,,,,2,,,,-,,W,24
,6,,3.1,KSC,B,QQ7,20,Sea of Fortune,,1,,,1,,,,,,,,,,,,,,,1,1,,2,,,1,,,,,,,,,1,,,,-,,W,21
